int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
72,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,165540,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.00524629
73,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,18563.3,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004916361
74,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,253812,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.00203213
75,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,29932.6,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.002136876
76,0.8,0.7,1,0,0.2,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,25905,50,1,0.75,1000,-999,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.005042236
77,0.8,0.7,1,0,0.0107,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,36014.4,50,1,0.75,1000,-999,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.008005293
78,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,9060.7,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.014317936
79,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,16560,50,1,0.75,1000,-999,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.000184192
80,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,106680,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000035542
81,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,9977.17,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.008538733
82,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,193889,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.006918026
83,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,70105.1,50,1,0.75,1000,9.85,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.012255708
84,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,18399.4,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.003686117
85,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,81623.4,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.003967594
86,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,16872.6,50,1,0.75,1000,0.5,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.003503579
87,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,36424.5,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004921522
88,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,11370.7,50,1,0.75,1000,0.5,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.003559853
89,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,124781,50,1,0.75,1000,0.5,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.006689466
90,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,105332,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.00613226
91,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,72186.8,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.006406584
92,0.8,0.7,1,0,0.263,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,34164,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.099721875
93,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,137303,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004529016
94,0.8,0.7,1,0,0.2841,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,142130,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.015440983
95,0.8,0.7,1,0,0.3705,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,19986.4,50,1,0.75,1000,1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.141331953
96,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,808.478,50,1,0.75,1000,0.228571429,99,99,99,99,99,1,1,1,1,0,0,1.02,2
